X	Hy	Ex	Ez
-3.93e-08	-0.974462	-0.556525	-0.204687
-3.9e-08	-0.971856	-0.555034	-0.214766
-3.87e-08	-0.969126	-0.553471	-0.224822
-3.84e-08	-0.966272	-0.551838	-0.234854
-3.81e-08	-0.963294	-0.550133	-0.244862
-3.78e-08	-0.960192	-0.548357	-0.254844
-3.75e-08	-0.956967	-0.546512	-0.264799
-3.72e-08	-0.953619	-0.544596	-0.274726
-3.69e-08	-0.95015	-0.542609	-0.284623
-3.66e-08	-0.946558	-0.540554	-0.294491
-3.63e-08	-0.942845	-0.538428	-0.304328
-3.6e-08	-0.939011	-0.536234	-0.314132
-3.57e-08	-0.935056	-0.53397	-0.323904
-3.54e-08	-0.930982	-0.531638	-0.333641
-3.51e-08	-0.926788	-0.529238	-0.343343
-3.48e-08	-0.922475	-0.526769	-0.353008
-3.45e-08	-0.918044	-0.524233	-0.362636
-3.42e-08	-0.913496	-0.52163	-0.372226
-3.39e-08	-0.90883	-0.518959	-0.381777
-3.36e-08	-0.904047	-0.516222	-0.391287
-3.33e-08	-0.899149	-0.513418	-0.400756
-3.3e-08	-0.894135	-0.510549	-0.410182
-3.27e-08	-0.889007	-0.507613	-0.419566
-3.24e-08	-0.883765	-0.504613	-0.428904
-3.21e-08	-0.878409	-0.501547	-0.438198
-3.18e-08	-0.872941	-0.498418	-0.447445
-3.15e-08	-0.86736	-0.495224	-0.456645
-3.12e-08	-0.861669	-0.491966	-0.465796
-3.09e-08	-0.855867	-0.488645	-0.474898
-3.06e-08	-0.849955	-0.485262	-0.48395
-3.03e-08	-0.843934	-0.481816	-0.492951
-3e-08	-0.837805	-0.478308	-0.5019
-2.97e-08	-0.831568	-0.474739	-0.510795
-2.94e-08	-0.825225	-0.471108	-0.519637
-2.91e-08	-0.818776	-0.467417	-0.528423
-2.88e-08	-0.812222	-0.463666	-0.537154
-2.85e-08	-0.805563	-0.459855	-0.545828
-2.82e-08	-0.798802	-0.455986	-0.554444
-2.79e-08	-0.791938	-0.452057	-0.563001
-2.76e-08	-0.784972	-0.448071	-0.571499
-2.73e-08	-0.777906	-0.444026	-0.579936
-2.7e-08	-0.77074	-0.439925	-0.588312
-2.67e-08	-0.763475	-0.435768	-0.596625
-2.64e-08	-0.756112	-0.431554	-0.604875
-2.61e-08	-0.748652	-0.427284	-0.613062
-2.58e-08	-0.741096	-0.42296	-0.621183
-2.55e-08	-0.733445	-0.418582	-0.629238
-2.52e-08	-0.725699	-0.414149	-0.637227
-2.49e-08	-0.717861	-0.409664	-0.645149
-2.46e-08	-0.709931	-0.405125	-0.653002
-2.43e-08	-0.701909	-0.400535	-0.660785
-2.4e-08	-0.693798	-0.395893	-0.668499
-2.37e-08	-0.685598	-0.3912	-0.676142
-2.34e-08	-0.677309	-0.386457	-0.683713
-2.31e-08	-0.668934	-0.381664	-0.691212
-2.28e-08	-0.660473	-0.376822	-0.698637
-2.25e-08	-0.651927	-0.371932	-0.705988
-2.22e-08	-0.643297	-0.366994	-0.713265
-2.19e-08	-0.634585	-0.362008	-0.720466
-2.16e-08	-0.625792	-0.356977	-0.72759
-2.13e-08	-0.616918	-0.351899	-0.734637
-2.1e-08	-0.607965	-0.346776	-0.741606
-2.07e-08	-0.598934	-0.341608	-0.748496
-2.04e-08	-0.589826	-0.336396	-0.755307
-2.01e-08	-0.580643	-0.331142	-0.762038
-1.98e-08	-0.571385	-0.325844	-0.768688
-1.95e-08	-0.562053	-0.320505	-0.775256
